,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15
T01,1,0.3313712051,-0.05163643526,-0.02848617032,0.2390913642,0.02403893273,0.2382025418,0.2029496253,0.1203967327,0.01381247613,0.02856715951,-0.2857748909,-0.1486023681,-0.08142788405,-0.06538895162,0.04675340446,0.1434847077,0.1137011908,0.09452404656,-0.05230728139,0.1085244392,-0.04915879602,0.2002660157,0.001054726349,-0.1441170508,-0.02811056886,0.2242327026,0.09128586999,0.04125931696,-0.1277105001,0.008647112747,-0.003450623645,0.02328092574,-0.2013570891,-0.1412440157,-0.08817617974,0.02645416075,0.00367724748,-0.04019124122,-0.02886137861,0.1396658234,0.1018577593,-0.1018759556,-0.08470692197,0.05529193499,-0.05516760988,-0.03617131975,-0.0274355553,-0.005514495117,-0.1291167458,-0.04269255953,-0.06426602833,0.01138676143,-0.120510216,-0.02522173482,0.01043016039,-0.1582443261,-0.1025838623,-0.05070656929,-0.0813878996
T02,0.3313712051,1,-0.02686316108,0.2953911432,0.03722036392,0.2782603756,0.02164357533,0.1446746713,-0.1412166533,0.1530624504,0.05178583767,0.0002512127047,0.02499541908,0.1176979773,0.01443977456,0.1325801228,0.01373544187,-0.08394837924,0.1505792855,-0.2228263861,0.0754607421,0.09943624712,0.05741876615,0.07208862564,0.1494076953,0.01393447394,0.5312786653,0.02076269885,0.2997755944,0.05945757384,0.117979707,0.003547666608,0.0866300012,0.0783718258,-0.005186295182,0.07474179951,0.1797211251,0.03669491268,0.1150270111,-0.1215478068,-0.136477802,0.07111021492,0.1202384444,0.1682387565,0.2363410677,-0.002113038437,0.2790164259,0.1284486273,0.03013509379,-0.1050123542,0.01978828779,-0.02568084218,0.1143381733,0.05333695898,0.1490899082,0.2186814262,0.1136412972,0.0626757191,0.06128491871,-0.1038576524
T03,-0.05163643526,-0.02686316108,1,0.01272873692,-0.07911316484,0.1621960634,0.09187815457,-0.06213468667,0.2034745934,0.153327727,0.1823372823,0.3003793316,0.1241349281,0.2005612065,0.1519094494,-0.09931770767,0.08493980743,-0.0408728918,-0.3225691737,0.1254429012,-0.07192451352,0.2135311066,0.09483173024,-0.006024424332,0.09114945987,0.4352404311,0.101038613,-0.0888931647,0.2357732695,0.167616955,0.01822172189,0.2605029524,-0.04631659787,0.152247925,0.1482661254,0.03177600315,0.07638635425,0.1508128641,0.1432836096,0.1122200872,0.1797606907,0.2719733165,0.02436969172,0.07132273384,0.1446076135,-0.04758561826,0.3056230369,-0.04582581853,0.1876071834,0.1143875659,0.06285699727,0.3653680532,0.2075554783,0.3676160852,0.1010915388,0.008313889561,0.1767161364,0.06920653883,0.1798982946,0.2099751962
T04,-0.02848617032,0.2953911432,0.01272873692,1,0.05058305752,0.224662637,-0.02515174422,0.153729679,-0.09782542651,0.2422968737,-0.1495123737,0.1681760916,0.006755880098,0.314485451,0.2532208971,0.0331915921,0.02315271732,-0.1098002657,-0.06855714902,-0.01075168705,0.1050850727,0.2302847082,-0.003343606142,0.1599324356,0.4020446612,0.01785880391,0.3342244157,0.01764224763,0.3627877751,0.1674583013,0.1110152286,0.08931188371,0.161068591,0.1141833912,0.01430528074,0.1508604955,0.1262426628,-0.1591492219,0.1770987062,0.1114695115,-0.04358690743,0.1346628497,0.3070756529,0.2676162079,0.3426753443,0.08834605901,0.1570688339,0.2502866783,-0.0633787562,-0.140711728,-0.1009304265,-0.02842993518,0.1977125744,0.1103370694,0.1671040293,0.0206314988,0.08975278881,0.1551787991,0.09744370373,0.1421414149
T05,0.2390913642,0.03722036392,-0.07911316484,0.05058305752,1,0.08907737852,0.2888881075,0.2333050895,0.0587981546,0.1167649759,0.06117497357,0.0817825518,-0.04966448357,0.07229984674,0.2233952522,0.05346865002,0.006477621764,-0.06642256308,0.05411237782,-0.133710446,-0.1056612435,0.07106510143,-0.06193604677,-0.1541550373,0.1366463373,0.06114468187,0.135740836,-0.06022223597,0.1366463373,0.1151648491,-0.02059527491,-0.04095451801,0.0402233052,-0.05570004663,0.2316221884,0.1514273546,0.3391685942,-0.03513550149,0.1293087697,0.2124087886,0.357869699,0.2300267903,0.2229178456,0.01458379541,0.2342963117,0.2291571791,0.1217258156,-0.006563191012,0.03961450453,0.02267098031,0.2552899961,-0.02718010497,0.09000989528,0.01494285942,0.144161566,0.1827014461,0.02857193643,0.06111155491,0.1151085752,0.1349988317
T06,0.02403893273,0.2782603756,0.1621960634,0.224662637,0.08907737852,1,0.01244218997,-0.005495998322,0.061872439,0.1146686556,0.1182701714,0.2074517627,0.03379337597,0.1556140351,0.12915327,0.2040664477,-0.1294557751,-0.3021866882,0.1244035082,0.02046227993,0.2515353992,0.2025070715,0.1402569093,-0.030915652,0.4402113586,0.2025406805,0.4583065726,-0.1094672677,0.4964498141,0.2635736217,0.02495081347,0.0729292323,0.07872710401,0.3583747095,0.05768511334,0.1922905468,0.378605873,-0.1371832472,0.1639971347,0.1568839691,-0.02007049442,0.1567187265,0.2932727164,0.2875586512,0.1909323114,-0.05521757689,0.2868797806,0.2531125169,0.1232813535,0.2816414071,0.1133857118,0.2196202067,0.07542332775,0.3991161832,0.2074519277,0.05551287995,0.288656571,0.2293110528,0.2497486143,0.3408797465
T07,0.2382025418,0.02164357533,0.09187815457,-0.02515174422,0.2888881075,0.01244218997,1,0.1441219646,0.2210756247,0.08596339744,0.1752952094,0.02759754743,-0.0556346545,0.15462315,-0.01379631914,0.1003193445,0.07834916637,-0.02009619004,0.07735269485,0.002701229826,0.06070445984,0.03886487048,0.008415693088,-0.004754593522,-0.00825161072,0.1197473566,0.01335946942,-0.005490282634,0.03960773146,0.003801747531,0.1853288441,0.1988929686,0.1436916819,0.003465676503,-0.02583708353,0.1636406796,0.2722640029,0.2046061651,0.2679006293,0.2352187681,0.2214092146,0.2520540796,0.2188437492,0.2034256226,0.214029527,0.451897286,0.2481808154,-0.05334100887,0.240196018,0.09378063948,0.02518753167,0.1347593747,0.2266976074,-0.01279585493,0.1623831737,0.2167928227,0.07149304395,0.2199795815,0.2296507505,0.05227593565
T08,0.2029496253,0.1446746713,-0.06213468667,0.153729679,0.2333050895,-0.005495998322,0.1441219646,1,0.2789391053,0.1047883497,0.2508734588,0.123047694,0.1313392267,0.1485481649,0.03329849476,-0.01208438705,0.2004941276,-0.02156647944,-0.09608555825,0.1235115009,0.1671108403,0.002634691121,-0.2304005879,-0.05663529935,-0.0184679307,-0.1138809018,0.1583465801,0.1892301575,0.05788985968,-0.11077549,-0.01674317406,-0.05044765249,0.05362920678,0.03384152319,0.1295442511,0.1127241627,0.1133277748,0.04985821082,0.1041218708,0.1157940776,0.02904069358,0.1379108233,0.09445043433,-0.007278655557,0.04045531844,0.06661746194,0.01853543291,0.01321898102,0.02469366406,0.01088519606,-0.02986935427,0.03955691251,0.1018488395,-0.1089631687,0.1588635284,0.2588736173,0.07230536848,0.1211888493,-0.01537611024,-0.06020405669
T09,0.1203967327,-0.1412166533,0.2034745934,-0.09782542651,0.0587981546,0.061872439,0.2210756247,0.2789391053,1,-0.1807302038,0.1346948341,-0.1622034572,-0.1206013386,-0.05922203534,-0.04415918239,0.003347984799,0.02730862483,-0.06163981836,0.1316459139,0.1329803999,0.1784620182,0.115852278,-0.09074263544,-0.07285627703,-0.04081993561,-0.04232938972,0.03104754668,0.140530731,0.1542086456,0.09019588736,0.01084551048,0.239607678,0.01587103745,0.01884324232,-0.1339552542,0.0137571966,0.006666545957,0.243832797,0.100726593,0.2483573187,0.1258394287,0.2028541864,0.01445873056,-0.09033357984,-0.03832229166,0.1172246475,0.03372633462,0.06463638877,0.01072520317,0.2550332557,-0.09658870152,0.2464281774,0.0601791405,-0.001724151385,-0.09050521082,0.2323899979,-0.01707384442,-0.01518942143,0.1984699715,0.1585157091
T10,0.01381247613,0.1530624504,0.153327727,0.2422968737,0.1167649759,0.1146686556,0.08596339744,0.1047883497,-0.1807302038,1,0.3082618833,0.4629389593,0.2622160614,0.2973007604,-0.008183262215,-0.01665954531,-0.02853229912,-0.1513155093,-0.05622229769,0.06699253303,-0.02900096486,0.1620964173,-0.04813304977,0.2642158913,0.256122763,0.2509836664,0.1416834917,0.04589141184,0.1804600112,0.06791678552,0.1152036189,0.2567717955,0.07229654452,0.1934400868,0.463867388,0.206703943,0.1528388234,0.10853188,0.1921354477,0.1686404704,0.06900684064,0.2910765006,0.1415748813,0.2229402099,0.2447705046,-0.06529516848,0.265131529,0.07951824302,0.1258509861,-0.06565942542,-0.01611183444,0.09934960482,0.168074759,0.1388511634,0.2840179496,-0.08589565702,0.1490511148,0.2425042663,0.02380679218,0.1039540095
