source,target,weight,abs_weight,sign,theme_source,theme_target,cross_theme
V07,V08,0.629563,0.629563,1,V,V,False
E14,E15,0.604181,0.604181,1,E,E,False
V05,V07,0.601139,0.601139,1,V,V,False
V08,V10,0.599421,0.599421,1,V,V,False
V10,V12,0.579059,0.579059,1,V,V,False
S14,V13,0.555028,0.555028,1,S,V,True
S01,S03,0.545677,0.545677,1,S,S,False
V09,V14,0.53985,0.53985,1,V,V,False
T02,E12,0.531279,0.531279,1,T,E,True
E11,V07,0.531219,0.531219,1,E,V,True
S14,V09,0.530136,0.530136,1,S,V,True
S13,V10,0.529852,0.529852,1,S,V,True
V09,V13,0.528275,0.528275,1,V,V,False
S09,S14,0.524414,0.524414,1,S,S,False
E07,E10,0.518638,0.518638,1,E,E,False
E10,S06,0.514689,0.514689,1,E,S,True
V13,V14,0.505654,0.505654,1,V,V,False
S06,V10,0.500347,0.500347,1,S,V,True
T06,E14,0.49645,0.49645,1,T,E,True
S07,S09,0.496156,0.496156,1,S,S,False
S06,S09,0.493031,0.493031,1,S,S,False
V03,V10,0.491601,0.491601,1,V,V,False
T12,T13,0.488482,0.488482,1,T,T,False
S09,V09,0.487412,0.487412,1,S,V,True
V07,V09,0.485376,0.485376,1,V,V,False
V07,V14,0.479551,0.479551,1,V,V,False
S07,V02,0.477307,0.477307,1,S,V,True
S06,V11,0.473606,0.473606,1,S,V,True
E10,E14,0.472146,0.472146,1,E,E,False
E10,E15,0.471528,0.471528,1,E,E,False
S09,V14,0.471393,0.471393,1,S,V,True
V01,V02,0.470843,0.470843,1,V,V,False
S15,V10,0.466797,0.466797,1,S,V,True
E10,V09,0.464694,0.464694,1,E,V,True
E07,V07,0.464089,0.464089,1,E,V,True
T10,S05,0.463867,0.463867,1,T,S,True
T10,T12,0.462939,0.462939,1,T,T,False
V10,V13,0.462704,0.462704,1,V,V,False
S13,V03,0.459875,0.459875,1,S,V,True
V07,V12,0.459038,0.459038,1,V,V,False
T06,E12,0.458307,0.458307,1,T,E,True
E14,V09,0.454722,0.454722,1,E,V,True
T07,V01,0.451897,0.451897,1,T,V,True
S14,V14,0.451627,0.451627,1,S,V,True
