source,target,inclusion_rate,in_graph
V07,V08,1,True
V08,V10,1,True
V10,V12,0.999,True
E14,E15,0.998,True
T12,T13,0.996,True
E07,E10,0.995,True
S13,V10,0.994,True
V05,V07,0.993,True
S14,V09,0.985,True
S09,S14,0.983,True
S14,V13,0.983,True
T02,E12,0.982,True
T10,S05,0.98,True
V08,V12,0.979,True
S06,S09,0.977,True
S01,S03,0.971,True
V13,V14,0.961,True
E07,V07,0.959,True
S01,S14,0.957,True
S07,S09,0.957,True
V03,V04,0.953,True
V07,V12,0.953,True
V09,V13,0.952,True
V03,V10,0.946,True
S06,V10,0.945,True
V01,V02,0.944,True
S09,S11,0.936,True
S09,V14,0.936,True
E10,E15,0.935,True
T11,S14,0.933,True
S13,S14,0.931,True
V08,V13,0.929,True
E11,V07,0.927,True
V09,V14,0.927,True
S13,V03,0.926,True
E07,V08,0.925,True
S11,V06,0.925,True
S09,V09,0.921,True
S09,S13,0.92,True
E03,E10,0.919,True
V07,V09,0.917,True
S07,V02,0.911,True
V01,V13,0.911,True
E07,E14,0.909,True
S10,V15,0.908,True
T06,E12,0.903,True
V13,V15,0.903,True
T07,V01,0.9,True
E12,E14,0.9,True
S06,V11,0.9,True
T06,E14,0.899,True
S15,V10,0.896,True
T10,T12,0.894,True
S07,V14,0.894,True
V06,V15,0.893,True
V07,V14,0.893,True
S14,V14,0.892,True
V03,V12,0.892,True
E10,S06,0.891,True
V07,V10,0.889,True
E07,S06,0.884,True
E01,E09,0.876,True
S10,V08,0.872,True
E15,V02,0.871,True
E10,E12,0.87,True
S09,V03,0.87,True
S15,V12,0.87,True
V06,V12,0.869,True
S02,V10,0.868,True
V09,V15,0.861,True
E15,S07,0.86,True
V10,V13,0.859,True
V02,V04,0.858,True
S09,V13,0.852,True
S10,V11,0.852,True
T12,S13,0.85,True
V08,V14,0.85,True
E15,V14,0.847,True
V12,V14,0.847,True
S04,S14,0.845,True
S10,S12,0.845,True
T03,E11,0.839,True
E10,E14,0.838,True
S09,V04,0.835,True
T12,S05,0.833,True
V04,V13,0.833,True
S09,V10,0.832,True
E07,S11,0.829,True
S07,V01,0.829,True
V04,V06,0.829,True
S07,V04,0.827,True
E10,V09,0.825,True
E11,E15,0.825,True
S02,S15,0.824,True
V09,V12,0.824,True
S12,V07,0.823,True
S06,V08,0.819,True
E10,V14,0.818,True
S07,V12,0.818,True
S13,S15,0.818,True
S06,V05,0.816,True
V07,V15,0.816,True
E07,E12,0.815,True
E01,E05,0.808,True
S14,S15,0.804,True
E07,V14,0.803,True
S07,V09,0.803,True
S02,S04,0.8,True
V04,V10,0.799,True
E14,V09,0.793,True
T11,V10,0.792,True
E11,V09,0.787,True
T06,E10,0.783,True
S14,V08,0.783,True
V01,V11,0.783,True
V08,V15,0.782,True
S02,S06,0.781,True
E10,S14,0.778,True
S15,V02,0.778,True
S04,S09,0.775,True
S03,S13,0.774,True
V05,V06,0.774,True
S14,V12,0.773,True
S09,V11,0.77,True
T06,V15,0.768,True
S02,S09,0.767,True
E15,V15,0.766,True
E11,V08,0.765,True
V12,V15,0.764,True
V12,V13,0.763,True
S07,S15,0.762,True
S06,V07,0.76,True
S14,V10,0.759,True
V14,V15,0.753,True
V02,V08,0.752,True
E11,S11,0.75,True
S01,S15,0.75,True
S04,V09,0.749,True
S10,S13,0.749,True
E05,V07,0.748,True
T14,V02,0.747,True
S04,V05,0.739,True
S09,S12,0.734,True
S14,V15,0.733,True
V09,V10,0.733,True
S13,V08,0.732,True
T11,S10,0.728,True
S07,S14,0.728,True
T06,S07,0.727,True
E14,V02,0.726,True
E07,S09,0.725,True
S14,V07,0.724,True
T05,S11,0.721,True
S09,V12,0.721,True
E07,V09,0.72,True
V01,V04,0.718,True
S06,V09,0.713,True
V01,V14,0.712,True
S03,V11,0.709,True
S11,V14,0.707,True
S09,S15,0.704,True
E07,E15,0.701,True
E12,V14,0.698,True
E10,S07,0.697,True
E10,S15,0.697,True
S03,V03,0.695,True
S06,V13,0.691,True
E05,S06,0.69,True
S02,S12,0.689,True
V02,V10,0.686,True
E05,E06,0.683,True
E11,E12,0.683,True
V07,V13,0.68,True
E07,S14,0.679,True
V04,V15,0.679,True
T03,V09,0.676,True
T04,E10,0.676,True
V10,V15,0.676,True
T06,V09,0.675,True
V08,V09,0.675,True
E10,S13,0.672,True
E08,V09,0.666,True
V05,V12,0.666,True
S06,V02,0.665,True
V02,V13,0.665,True
V05,V14,0.665,True
V05,V15,0.662,True
E06,S10,0.66,True
T12,T14,0.658,True
V02,V12,0.656,True
T04,E14,0.655,True
E10,V02,0.655,True
E10,S09,0.652,True
V06,V07,0.651,True
E10,V13,0.649,True
S07,V13,0.648,True
S13,V04,0.648,True
E09,S02,0.647,True
S06,V14,0.645,True
T11,S09,0.643,True
T03,V07,0.642,True
T05,S07,0.641,True
E12,V07,0.639,True
T11,T12,0.634,True
V02,V14,0.632,True
T01,T02,0.631,True
S09,V15,0.629,True
S11,V07,0.628,True
S04,S10,0.627,True
S15,V03,0.624,True
E15,V09,0.622,True
E12,V03,0.618,True
E07,V11,0.617,True
S09,V02,0.617,True
V06,V08,0.613,True
T06,S04,0.609,True
V05,V08,0.609,True
S09,V07,0.607,True
E15,S11,0.606,True
E14,S11,0.605,True
V02,V07,0.605,True
V02,V09,0.605,True
S13,V14,0.604,True
V06,V09,0.603,True
E01,E10,0.6,True
E12,E15,0.599,True
V11,V13,0.599,True
E08,E15,0.597,True
E08,V03,0.597,True
T13,S13,0.596,True
V03,V14,0.594,True
V04,V08,0.594,True
E10,V15,0.59,True
T03,E04,0.589,True
T12,V02,0.589,True
V04,V09,0.589,True
E15,S09,0.588,True
S10,V07,0.588,True
S12,V10,0.586,True
E11,V14,0.585,True
T11,S05,0.583,True
T13,V08,0.583,True
T04,S15,0.582,True
T04,E12,0.579,True
T14,E10,0.579,True
T13,V06,0.578,True
S07,V05,0.578,True
S07,S11,0.577,True
S04,S12,0.576,True
E14,S07,0.574,True
T14,V13,0.573,True
E11,E14,0.573,True
S05,S07,0.573,True
E14,S09,0.571,True
T13,V07,0.567,True
S12,S14,0.567,True
E07,E11,0.566,True
S15,V08,0.566,True
S01,S02,0.565,True
E14,S04,0.563,True
E12,S14,0.562,True
V03,V15,0.561,True
S13,V12,0.56,True
E10,V07,0.559,True
V02,V11,0.559,True
E08,E11,0.558,True
T12,S14,0.557,True
E14,S15,0.555,True
S07,V10,0.554,True
E01,E02,0.553,True
T11,S12,0.552,True
S06,V01,0.551,True
V05,V10,0.551,True
T12,V10,0.549,True
