code,strength_observed,strength_mean,strength_lo,strength_hi
T01,0.3314,1.162,0,2.773
T02,0.8626,2.671,0.7067,8.034
T03,2.097,3.14,0.6656,7.111
T04,2.063,3.402,0.3123,10.22
T05,0.697,2.137,0.3623,5.093
T06,3.174,5.57,0.9644,12.58
T07,0.4519,2.79,0.6948,6.249
T08,0,1.467,0.2937,3.912
T09,0,1.665,0,4.263
T10,1.235,4.079,1.047,10.88
T11,2.762,4.633,1.865,8.048
T12,4.695,5.675,2.508,11.15
T13,1.754,2.881,0.7811,6.016
T14,1.872,3.898,0.3156,11.34
T15,0,1.482,0,4.307
E01,2.054,2.955,0.7829,6.103
E02,0.3144,1.449,0,4.027
E03,0.7426,3.034,0.7085,7.057
E04,0.6308,1.789,0,5.33
E05,1.756,2.838,0.7491,6.176
E06,0.688,1.838,0.3183,5.499
E07,5.512,7.857,3.244,13.56
E08,1.619,2.697,0.3691,6.27
E09,0.771,2.998,0.7413,6.407
E10,8.95,10.05,3.278,17.19
E11,4.53,7.096,2.33,13.76
E12,5.557,6.914,2.241,13.78
E13,0,1.539,0,4.505
E14,6.596,7.72,2.411,14.88
E15,5.432,6.953,2.375,12.75
S01,1.705,4.005,1.089,8.667
S02,3.925,5.709,1.957,10.62
S03,1.944,4.171,1.286,8.014
S04,4.308,6.256,1.028,14.11
S05,1.506,3.951,1.095,9.204
S06,8.382,9.482,3.452,16.93
S07,8.946,9.568,2.913,16.8
S08,0.3065,2.494,0.341,5.889
S09,10.21,11.44,5.392,18.31
S10,3.776,6.342,2.262,12.31
S11,3.678,5.611,2.159,10.37
S12,3.783,6.176,1.805,12.27
S13,6.304,7.694,3.493,12.68
S14,8.565,10.87,4.953,17.65
S15,6.396,8.112,3.037,14.48
V01,3.169,4.89,1.546,10.08
V02,8.736,9.151,2.392,16.91
V03,4.237,5.947,2.31,11.64
V04,5.077,6.341,2.414,10.94
V05,5.34,6.474,2.672,11.29
V06,3.343,5.379,1.871,10.05
V07,9.847,10.39,6.253,14.71
V08,8.25,9.304,4.269,15.24
V09,9.925,10.38,3.447,17.27
V10,8.703,10.2,4.696,16.81
V11,3.864,6.044,2.015,11.49
V12,7.562,9.048,4.011,15.21
V13,7.55,8.932,3.248,16.14
V14,8.394,9.593,4.01,15.05
V15,6.572,7.98,3.517,14.03
